人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
726,長谷川 時雨,47613,きもの,旧字旧仮名,,門田裕志,仙酔ゑびす,公開,2009-02-14,随筆　きもの,実業之日本社,1939（昭和14）年11月7日5版,1939（昭和14）年11月7日5版
448,江見 水蔭,46496,丹那山の怪,新字新仮名,,岡山勝美,門田裕志,公開,2006-11-19,怪奇・伝奇時代小説選集11　妖艶の谷　他11編,春陽文庫、春陽堂書店,2000（平成12）年8月20日第1刷,2000（平成12）年8月20日第1刷
158,島崎 藤村,842,路傍の雑草,新字旧仮名,,増元弘信,浦田伴俊,公開,2000-06-24,日本の名随筆94 　草,作品社,,
1469,河野 常吉,50752,コロポックル説の誤謬を論ず（下）,旧字旧仮名,,しだひろし,フクポー,公開,2018-09-03,歴史地理　第十二卷第六號,日本歴史地理學會,1908（明治41）12月1日,1908（明治41）12月1日
1569,中谷 宇吉郎,59594,「蛸壺」の句,新字新仮名,,砂場清隆,きゅうり,公開,2021-04-27,中谷宇吉郎随筆選集第一巻,朝日新聞社,1966（昭和41）年6月20日,1966（昭和41）年9月30日第4刷
416,伊藤 野枝,57005,書簡　大杉栄宛 （一九一六年五月二七日）,新字旧仮名,,酒井裕二,雪森,公開,2016-02-20,定本　伊藤野枝全集　第二巻　評論・随筆・書簡1――『青鞜』の時代,學藝書林,2000（平成12）年5月31日初版,2000（平成12）年5月31日初版
2043,ホワイト フレッド・Ｍ,61140,悪の帝王 03 第３話　銀溜杯,新字新仮名,奥 増夫,奥増夫,,公開,2021-09-02,,,,
1569,中谷 宇吉郎,57276,母性愛の蟹,新字新仮名,,kompass,砂場清隆,公開,2016-05-19,中谷宇吉郎集　第八巻,岩波書店,2001（平成13）年5月7日第1刷,2001（平成13）年5月7日第1刷
52,紫式部 ,5061,源氏物語 46 竹河,新字新仮名,与謝野 晶子,上田英代,kompass,公開,2004-04-10,全訳源氏物語　下巻,角川文庫、角川書店,1995（平成7）年5月30日40版,2002（平成14）年4月10日44版
1670,野村 胡堂,54652,銭形平次捕物控 149 遺言状,旧字旧仮名,,特定非営利活動法人はるかぜ,門田裕志,公開,2016-03-11,錢形平次捕物全集第十八卷　彦徳の面,同光社磯部書房,1953（昭和28）年10月20日,1953（昭和28）年10月20日
42,寺田 寅彦,4359,変った話,新字新仮名,,砂場清隆,青野弘美,公開,2003-03-04,寺田寅彦全集　第四巻,岩波書店,1997（平成9）年3月5日 発行,
80,平出 修,4072,瘢痕,新字旧仮名,,林幸雄,松永正敏,公開,2003-06-20,定本　平出修集,春秋社,1965（昭和40）年6月15日発行,
35,太宰 治,54181,黒石の人たち,旧字旧仮名,,小林繁雄,阿部哲也,公開,2012-02-21,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,2001（平成13）年11月10日初版第2刷
1095,坂口 安吾,43160,単独犯行に非ず,新字新仮名,,tatsuki,noriko saito,公開,2009-04-17,坂口安吾全集　07,筑摩書房,1998（平成10）年8月20日初版第1刷,1998（平成10）年8月20日初版第1刷
903,モーパッサン ギ・ド,4092,世界怪談名作集 15 幽霊,新字新仮名,岡本 綺堂,もりみつじゅんじ,多羅尾伴内,公開,2003-12-28,世界怪談名作集　下,河出文庫、河出書房新社,1987（昭和62）年9月4日初版,2002（平成14）年6月20日新装版初版
160,海野 十三,1243,間諜座事件,新字新仮名,,土屋隆,田中哲郎,公開,2005-06-17,海野十三全集　第2巻　俘囚,三一書房,1991（平成3）年2月28日第1版第1刷,1991（平成3）年2月28日第1版第1刷
304,牧 逸馬,44723,助五郎余罪,新字新仮名,,網迫、土屋隆,noriko saito,公開,2005-08-17,「探偵趣味」傑作選　幻の探偵雑誌2,光文社文庫、光文社,2000（平成12）年4月20日初版1刷,2000（平成12）年4月20日初版1刷
1505,ポター ビアトリクス,54916,チギウィンクルおばさんのはなし,新字新仮名,大久保 ゆう,大久保ゆう,,公開,2012-04-09,,,,
311,宮本 百合子,3472,鬼畜の言葉,新字新仮名,,柴田卓治,磐余彦,公開,2003-10-26,宮本百合子全集　第十六巻,新日本出版社,1986（昭和61）年3月20日第4刷,
1506,片岡 義男,52175,時差のないふたつの島,新字新仮名,,八巻美恵,三木野エマ,公開,2010-10-05,時差のないふたつの島,新潮文庫、新潮社,,
1380,石川 欣一,57357,雪割草の花,新字新仮名,,富田晶子,岡村和彦,公開,2016-08-04,日本山岳名著全集8,あかね書房,1962（昭和37）年11月25日第1刷,1962（昭和37）年11月25日第1刷
2144,前田 多門,60421,「人間宣言」のうちそと,新字新仮名,,sogo,染川隆俊,公開,2021-06-04,「文藝春秋」にみる昭和史　第二巻,文藝春秋,1988（昭和63）年3月15日第3刷,1988（昭和63）年3月15日第3刷
19,アンデルセン ハンス・クリスチャン,42382,旅なかま,新字新仮名,楠山 正雄,大久保ゆう,秋鹿,公開,2006-03-04,新訳アンデルセン童話集第一巻,同和春秋社,1955（昭和30）年7月20日初版,1955（昭和30）年7月20日初版
83,菊池 寛,46591,奉行と人相学,新字新仮名,,岡山勝美,noriko saito,公開,2009-10-27,捕物時代小説選集6　大岡越前守他7編　,春陽文庫、春陽堂書店　,2000（平成12）年10月20日第1刷,2000（平成12）年10月20日第1刷
248,上司 小剣,51226,石川五右衛門の生立,旧字旧仮名,,川山隆,門田裕志,公開,2011-07-05,鱧の皮,岩波文庫、岩波書店,2009（平成21）年2月19日第4刷,2009（平成21）年2月19日第4刷
1277,ガンジー マハトマ,47019,受動的抵抗の理論と実行,旧字旧仮名,福永 渙,田中敬三,小林繁雄,公開,2007-06-17,ガンヂーは叫ぶ,アルス,1942（昭和17）年6月20日初版,1942（昭和17）年6月20日初版
293,原 民喜,4760,魔のひととき,新字旧仮名,,ジェラスガイ,Juki,公開,2002-09-23,日本の原爆文学1　原民喜,ほるぷ出版,1983（昭和58）年8月1日初版第1刷,
1154,岸田 国士,44331,脚本難,新字旧仮名,,tatsuki,Juki,公開,2008-12-16,岸田國士全集19,岩波書店,1989（平成元）年12月8日,1989（平成元）年12月8日
207,ゴーゴリ ニコライ,47132,ディカーニカ近郷夜話　後篇 05 呪禁のかかつた土地,新字旧仮名,平井 肇,oterudon,伊藤時也,公開,2009-10-04,ディカーニカ近郷夜話　後篇,岩波文庫、岩波書店,1994（平成6）年10月6日第7刷,2006（平成18）年2月23日第8刷
1475,小川 未明,51536,うみぼうずと　おひめさま,新字新仮名,,特定非営利活動法人はるかぜ,笹平健一,公開,2023-04-07,定本小川未明童話全集　16,講談社,1982（昭和57）年9月10日第5刷,1981（昭和56）年1月6日第4刷
255,国枝 史郎,47428,畳まれた町,新字新仮名,,門田裕志,hitsuji,公開,2020-07-18,国枝史郎探偵小説全集　全一巻,作品社,2005（平成17）年9月15日第1刷,2005（平成17）年9月15日第1刷
1395,和辻 哲郎,49903,土下座,新字新仮名,,門田裕志,米田,公開,2011-01-16,和辻哲郎随筆集,岩波文庫、岩波書店,2006（平成18）年11月22日第6刷,1995（平成7）年9月18日第1刷
908,坂本 竜馬,52030,手紙 118 慶応三年十一月十日　林謙三あて,新字旧仮名,,Yanajin33,Hanren,公開,2010-11-13,龍馬の手紙、宮地佐一郎,講談社学術文庫、講談社,2008（平成20）年9月19日第7刷,2008（平成20）年9月19日第7刷
